#group,false,false,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,string,string,string,string,string
#default,_result,,,,,,,
,result,table,_time,_value,eventType,idDevice,idRequest,timestamp
,,0,2023-07-19T18:43:24.228966321Z,Response,received,client,client_1689792204207840219,1689792204228963096
,,1,2023-07-19T18:43:24.249957585Z,Response,received,client,client_1689792204217374542,1689792204249955439
,,2,2023-07-19T18:43:24.251222338Z,Response,received,client,client_1689792204230387791,1689792204251219365
,,3,2023-07-19T18:43:24.289627606Z,Response,received,client,client_1689792204231746801,1689792204289625202
,,4,2023-07-19T18:43:24.284800249Z,Response,received,client,client_1689792204258021304,1689792204284797953
,,5,2023-07-19T18:43:24.294799203Z,Response,received,client,client_1689792204263605163,1689792204294796138
,,6,2023-07-19T18:43:24.385190787Z,Response,received,client,client_1689792204270176451,1689792204385188475
,,7,2023-07-19T18:43:24.307355327Z,Response,received,client,client_1689792204282083620,1689792204307352779
,,8,2023-07-19T18:43:24.31680017Z,Response,received,client,client_1689792204298337610,1689792204316797725
,,9,2023-07-19T18:43:24.331113445Z,Response,received,client,client_1689792204301836032,1689792204331111429
,,10,2023-07-19T18:43:24.337206612Z,Response,received,client,client_1689792204304581824,1689792204337204562
,,11,2023-07-19T18:43:24.341318006Z,Response,received,client,client_1689792204318266660,1689792204341314934
,,12,2023-07-19T18:43:24.472255177Z,Response,received,client,client_1689792204335950732,1689792204472253927
,,13,2023-07-19T18:43:24.384180392Z,Response,received,client,client_1689792204354834602,1689792204384177347
,,14,2023-07-19T18:43:24.389278739Z,Response,received,client,client_1689792204356856560,1689792204389275367
,,15,2023-07-19T18:43:24.3970207Z,Response,received,client,client_1689792204364589609,1689792204397018392
,,16,2023-07-19T18:43:24.412820739Z,Response,received,client,client_1689792204383707567,1689792204412819532
,,17,2023-07-19T18:43:24.578507058Z,Response,received,client,client_1689792204398444772,1689792204578504033
,,18,2023-07-19T18:43:24.730619711Z,Response,received,client,client_1689792204465190537,1689792204730617691
,,19,2023-07-19T18:43:24.772295671Z,Response,received,client,client_1689792204477667452,1689792204772293486
,,20,2023-07-19T18:43:24.539322941Z,Response,received,client,client_1689792204514555504,1689792204539320869
,,21,2023-07-19T18:43:24.542764107Z,Response,received,client,client_1689792204514742566,1689792204542761268
,,22,2023-07-19T18:43:24.864072807Z,Response,received,client,client_1689792204527801711,1689792204864071071
